subject_id,strategy,recall_score
1,visual,30.43
1,verbal,37.35
1,elaborative,65.18
2,visual,48.49
2,verbal,39.56
2,elaborative,59.24
3,visual,52.6
3,verbal,58.52
3,elaborative,58.61
4,visual,50.82
4,verbal,49.66
4,elaborative,54.24
5,visual,64.36
5,verbal,58.01
5,elaborative,60.78
6,visual,63.31
6,verbal,59.61
6,elaborative,59.57
7,visual,64.49
7,verbal,78.35
7,elaborative,72.53
8,visual,26.81
8,verbal,55.96
8,elaborative,61.54
9,visual,45.14
9,verbal,64.9
9,elaborative,49.35
10,visual,46.2
10,verbal,42.9
10,elaborative,51.01
11,visual,51.07
11,verbal,64.63
11,elaborative,59.09
12,visual,40.04
12,verbal,61.05
12,elaborative,59.69
13,visual,30.79
13,verbal,40.14
13,elaborative,55.14
14,visual,36.98
14,verbal,37.86
14,elaborative,44.11
15,visual,64.33
15,verbal,75.73
15,elaborative,68.79
16,visual,41.25
16,verbal,49.98
16,elaborative,54.45
17,visual,39.88
17,verbal,45.98
17,elaborative,69.3
18,visual,61.94
18,verbal,71.47
18,elaborative,67.06
19,visual,46.62
19,verbal,58.74
19,elaborative,48.26
20,visual,26.28
20,verbal,47.16
20,elaborative,44.96
21,visual,37.69
21,verbal,48.95
21,elaborative,40.64
22,visual,52.36
22,verbal,30.03
22,elaborative,36.56
23,visual,91.61
23,verbal,64.0
23,elaborative,75.42
24,visual,67.25
24,verbal,50.52
24,elaborative,61.45
25,visual,61.25
25,verbal,59.76
25,elaborative,66.7
26,visual,34.35
26,verbal,39.12
26,elaborative,48.11
27,visual,48.22
27,verbal,57.55
27,elaborative,55.69
28,visual,53.94
28,verbal,58.52
28,elaborative,57.75
29,visual,52.39
29,verbal,74.91
29,elaborative,75.75
30,visual,47.75
30,verbal,49.96
30,elaborative,73.39
